Protein Name,UniProt Accession,Accession (without isoform number),Gene Name,BPA ,P value,E2,P value,PCB,P value,Pht,P value,EntrezGene
26S proteasome non-ATPase regulatory subunit 6  ,sp|Q99JI4|PSMD6_MOUSE,Q99JI4,Psmd6,0.02,0.896,0.14,0.38,-0.06,0.674,-0.32,0.516,66413
26S proteasome non-ATPase regulatory subunit 7  ,sp|P26516|PSD7_MOUSE,P26516,Psmd7,0.19,0.466,0.08,0.435,0.13,0.5,0.07,0.776,17463
26S proteasome non-ATPase regulatory subunit 8  ,sp|Q9CX56|PSMD8_MOUSE,Q9CX56,Psmd8,-0.17,0.429,0.06,0.418,-0.26,0.882,-0.21,0.199,57296
26S proteasome non-ATPase regulatory subunit 9  ,sp|Q9CR00|PSMD9_MOUSE,Q9CR00,Psmd9,-0.12,0.481,0,0.763,0.12,0.511,0.16,0.544,67151
28 kDa heat- and acid-stable phosphoprotein  ,sp|Q3UHX2|HAP28_MOUSE,Q3UHX2,Pdap1,-0.3,0.253,-0.53,0.269,0.12,0.994,0.29,0.724,231887
"28S ribosomal protein S14, mitochondrial  ",sp|Q9CR88|RT14_MOUSE,Q9CR88,Mrps14,0.14,0.766,0.14,0.813,0.08,0.103,-0.08,0.128,64659
"28S ribosomal protein S22, mitochondrial  ",sp|Q9CXW2|RT22_MOUSE,Q9CXW2,Mrps22,0.36,0.293,0.27,0.145,0.19,0.524,0.29,0.381,64655
"28S ribosomal protein S23, mitochondrial  ",sp|Q8VE22|RT23_MOUSE,Q8VE22,Mrps23,0.66,0.125,0.4,0.471,0.49,0.05,-0.25,0.492,64656
"28S ribosomal protein S26, mitochondrial  ",sp|Q80ZS3|RT26_MOUSE,Q80ZS3,Mrps26,-0.11,0.53,-0.29,0.809,-0.38,0.295,0.27,0.314,99045
"28S ribosomal protein S27, mitochondrial  ",sp|Q8BK72|RT27_MOUSE,Q8BK72,Mrps27,0.17,0.356,-0.33,0.776,0.08,0.686,0,0.678,218506
"28S ribosomal protein S29, mitochondrial  ",sp|Q9ER88|RT29_MOUSE,Q9ER88,Dap3,0.92,0.004,-0.13,0.761,0.58,0.336,1.03,0.383,65111
"28S ribosomal protein S30, mitochondrial  ",sp|Q9D0G0|RT30_MOUSE,Q9D0G0,Mrps30,0.57,0.111,-0.25,0.835,0.04,0.489,0.56,0.523,59054
"28S ribosomal protein S31, mitochondrial  ",sp|Q61733|RT31_MOUSE,Q61733,Mrps31,-0.21,0.485,-0.76,0.104,-0.6,0.397,-0.93,0.88,57312
"28S ribosomal protein S35, mitochondrial  ",sp|Q8BJZ4|RT35_MOUSE,Q8BJZ4,Mrps35,0.66,0.023,0.54,0.226,0.2,0.594,-0.09,0.983,232536
"28S ribosomal protein S6, mitochondrial  ",sp|P58064|RT06_MOUSE,P58064,Mrps6,-0.13,0.495,-0.19,0.412,0.14,0.891,0.25,0.945,121022
"28S ribosomal protein S7, mitochondrial  ",sp|Q80X85|RT07_MOUSE,Q80X85,Mrps7,0.16,0.413,0.13,0.529,0.15,0.458,0.08,0.746,50529
"28S ribosomal protein S9, mitochondrial  ",sp|Q9D7N3|RT09_MOUSE,Q9D7N3,Mrps9,0.04,0.896,0.36,0.238,-0.01,0.293,-0.47,0.591,69527
"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial  ",sp|O88986|KBL_MOUSE,O88986,Gcat,0.44,0.219,0.31,0.39,0.12,0.676,0.19,0.828,26912
2-aminoethanethiol dioxygenase  ,sp|Q6PDY2|AEDO_MOUSE,Q6PDY2,Ado,0.06,0.759,0.06,0.633,0.14,0.777,0.4,0.52,211488
"3'(2'),5'-bisphosphate nucleotidase 1  ",sp|Q9Z0S1|BPNT1_MOUSE,Q9Z0S1,Bpnt1,-0.11,0.484,0.21,0.769,-0.06,0.491,-0.11,0.439,23827
"39S ribosomal protein L10, mitochondrial  ",sp|Q3TBW2|RM10_MOUSE,Q3TBW2,Mrpl10,0.15,0.434,0.21,0.755,-0.02,0.553,0.05,0.11,107732
"39S ribosomal protein L11, mitochondrial  ",sp|Q9CQF0|RM11_MOUSE,Q9CQF0,Mrpl11,0.16,0.398,-0.09,0.462,0.19,1,0.33,0.546,66419
"39S ribosomal protein L12, mitochondrial  ",sp|Q9DB15|RM12_MOUSE,Q9DB15,Mrpl12,-0.37,0.417,-0.53,0.18,0.32,0.739,0.58,0.759,56282
"39S ribosomal protein L14, mitochondrial  ",sp|Q9D1I6|RM14_MOUSE,Q9D1I6,Mrpl14,0.05,0.917,0.68,0.525,0.96,0.454,0.89,0.223,68463
"39S ribosomal protein L18, mitochondrial  ",sp|Q9CQL5|RM18_MOUSE,Q9CQL5,Mrpl18,0.26,0.144,-0.26,0.49,0.46,0.364,0.53,0.622,67681
"39S ribosomal protein L19, mitochondrial  ",sp|Q9D338|RM19_MOUSE,Q9D338,Mrpl19,0,0.991,-0.04,0.983,-0.01,0.422,0.09,0.369,56284
"39S ribosomal protein L2, mitochondrial  ",sp|Q9D773|RM02_MOUSE,Q9D773,Mrpl2,-0.75,0.15,-0.39,0.472,-0.7,0.096,0.54,0.895,27398
"39S ribosomal protein L22, mitochondrial  ",sp|Q8BU88|RM22_MOUSE,Q8BU88,Mrpl22,-0.39,0.234,-0.13,0.451,0.1,0.773,-0.06,0.313,216767
"39S ribosomal protein L24, mitochondrial  ",sp|Q9CQ06|RM24_MOUSE,Q9CQ06,Mrpl24,0.09,0.8,-0.39,0.31,0.33,0.646,0.93,0.643,67707
"39S ribosomal protein L39, mitochondrial  ",sp|Q9JKF7|RM39_MOUSE,Q9JKF7,Mrpl39,0.09,0.748,-0.09,0.608,0.23,0.665,-0.27,0.813,27393
"39S ribosomal protein L4, mitochondrial  ",sp|Q9DCU6|RM04_MOUSE,Q9DCU6,Mrpl4,0.62,0.201,0.69,0.196,1.05,0.1,0.93,0.384,66163
"39S ribosomal protein L46, mitochondrial  ",sp|Q9EQI8|RM46_MOUSE,Q9EQI8,Mrpl46,0.26,0.323,0.27,0.431,-0.11,0.409,0.28,0.795,67308
"39S ribosomal protein L49, mitochondrial  ",sp|Q9CQ40|RM49_MOUSE,Q9CQ40,Mrpl49,-0.18,0.579,-0.47,0.368,0.17,0.291,0.18,0.137,18120
"39S ribosomal protein L55, mitochondrial  ",sp|Q9CZ83|RM55_MOUSE,Q9CZ83,Mrpl55,-0.23,0.508,-0.05,0.943,-0.48,0.114,0.2,0.996,67212
"3-hydroxyisobutyrate dehydrogenase, mitochondrial  ",sp|Q99L13|3HIDH_MOUSE,Q99L13,Hibadh,-0.44,0.397,-0.32,0.763,0.01,0.817,-0.17,0.356,58875
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial  ",sp|Q8QZS1|HIBCH_MOUSE,Q8QZS1,Hibch,0.35,0.18,0.32,0.142,0.23,0.484,0.42,0.116,227095
"3-ketoacyl-CoA thiolase A, peroxisomal  ",sp|Q921H8|THIKA_MOUSE,Q921H8,Acaa1a,-0.32,0.116,-0.27,0.319,0,0.58,-0.19,0.75,113868
"3-ketoacyl-CoA thiolase, mitochondrial  ",sp|Q8BWT1|THIM_MOUSE,Q8BWT1,Acaa2,-0.13,0.811,0.09,0.174,0.28,0.361,0.35,0.553,52538
40S ribosomal protein S10  ,sp|P63325|RS10_MOUSE,P63325,Rps10,0.03,0.844,-0.19,0.413,-0.1,0.515,-0.39,0.987,67097
40S ribosomal protein S11  ,sp|P62281|RS11_MOUSE,P62281,Rps11,-0.49,0.117,-0.01,0.963,0.21,0.549,-0.03,0.259,27207
40S ribosomal protein S14  ,sp|P62264|RS14_MOUSE,P62264,Rps14,0.25,0.224,0.28,0.389,0.28,0.616,0.18,0.205,20044
40S ribosomal protein S15  ,sp|P62843|RS15_MOUSE,P62843,Rps15,-0.24,0.414,-0.68,0.113,0.03,0.964,0.41,0.149,20054
40S ribosomal protein S15a  ,sp|P62245|RS15A_MOUSE,P62245,Rps15a,-0.05,0.891,0.02,0.516,-0.29,0.509,-0.38,0.026,267019
40S ribosomal protein S16  ,sp|P14131|RS16_MOUSE,P14131,Rps16,-0.26,0.196,0.13,0.857,-0.36,0.674,-0.72,0.309,20055
40S ribosomal protein S17  ,sp|P63276|RS17_MOUSE,P63276,Rps17,-0.52,0.04,0.06,0.454,0.2,0.594,0.27,0.591,20068
40S ribosomal protein S18  ,sp|P62270|RS18_MOUSE,P62270,Rps18,0.01,0.984,0.41,0.218,-0.32,0.774,-0.65,0.419,20084
40S ribosomal protein S19  ,sp|Q9CZX8|RS19_MOUSE,Q9CZX8,Rps19,-0.02,0.95,-0.09,0.756,0.28,0.297,0.06,0.257,20085
40S ribosomal protein S2  ,sp|P25444|RS2_MOUSE,P25444,Rps2,-0.2,0.401,-0.02,0.524,0.12,0.117,-0.48,0.81,16898
40S ribosomal protein S20  ,sp|P60867|RS20_MOUSE,P60867,Rps20,-0.18,0.374,-0.11,0.693,-0.25,0.545,-0.1,0.196,67427
40S ribosomal protein S21  ,sp|Q9CQR2|RS21_MOUSE,Q9CQR2,Rps21,-0.02,0.942,-0.29,0.436,0.05,0.813,0.43,0.764,66481
40S ribosomal protein S23  ,sp|P62267|RS23_MOUSE,P62267,Rps23,-0.35,0.428,-0.51,0.078,0.24,0.728,0.49,0.638,66475
40S ribosomal protein S25  ,sp|P62852|RS25_MOUSE,P62852,Rps25,-0.27,0.388,0.01,0.467,-0.43,0.964,-0.97,0.908,75617
40S ribosomal protein S26  ,sp|P62855|RS26_MOUSE,P62855,Rps26,-0.22,0.403,0.13,0.724,-0.25,0.298,-0.81,0.472,27370
40S ribosomal protein S27-like  ,sp|Q6ZWY3|RS27L_MOUSE,Q6ZWY3,Rps27l,-0.15,0.55,0.13,0.142,-0.33,0.297,-0.68,0.229,67941
40S ribosomal protein S28  ,sp|P62858|RS28_MOUSE,P62858,Rps28,-0.1,0.588,-0.12,0.761,0.02,0.666,0.14,0.292,54127
40S ribosomal protein S29  ,sp|P62274|RS29_MOUSE,P62274,Rps29,-0.03,0.941,0.16,0.848,0.13,0.256,0.84,0.854,20090
40S ribosomal protein S3  ,sp|P62908|RS3_MOUSE,P62908,Rps3,0.36,0.261,0.68,0.063,-0.29,0.626,-0.76,0.492,27050
40S ribosomal protein S3a  ,sp|P97351|RS3A_MOUSE,P97351,Rps3a,-0.18,0.58,0.17,0.979,0.06,0.927,0.01,0.881,20091
"40S ribosomal protein S4, X isoform  ",sp|P62702|RS4X_MOUSE,P62702,Rps4x,-0.2,0.488,0.38,0.421,-0.62,0.599,-1.64,0.378,20102
40S ribosomal protein S5  ,sp|P97461|RS5_MOUSE,P97461,Rps5,-0.03,0.87,-0.35,0.265,0.24,0.579,0.63,0.38,20103
40S ribosomal protein S7  ,sp|P62082|RS7_MOUSE,P62082,Rps7,-0.07,0.651,-0.2,0.207,-0.68,0.358,-1.64,0.123,20115
40S ribosomal protein S8  ,sp|P62242|RS8_MOUSE,P62242,Rps8,-0.69,0.011,-0.03,0.649,-0.3,0.158,-0.51,0.066,20116
40S ribosomal protein S9  ,sp|Q6ZWN5|RS9_MOUSE,Q6ZWN5,Rps9,0.1,0.695,0.73,0.146,-0.33,0.062,-1.3,0.872,76846
45 kDa calcium-binding protein  ,sp|Q61112|CAB45_MOUSE,Q61112,Sdf4,-0.04,0.799,-0.03,0.585,-0.09,0.417,0.03,0.986,20318
4F2 cell-surface antigen heavy chain  ,sp|P10852|4F2_MOUSE,P10852,Slc3a2,-0.35,0.337,0.28,0.374,0.08,0.812,-0.64,0.04,17254
4-trimethylaminobutyraldehyde dehydrogenase  ,sp|Q9JLJ2|AL9A1_MOUSE,Q9JLJ2,Aldh9a1,0.1,0.598,0.03,0.48,0.05,0.185,-0.2,0.413,56752
"5'(3')-deoxyribonucleotidase, cytosolic type  ",sp|Q9JM14|NT5C_MOUSE,Q9JM14,Nt5c,0.02,0.942,-0.04,0.393,0.29,0.844,0.11,0.425,50773
55 kDa erythrocyte membrane protein  ,sp|P70290|EM55_MOUSE,P70290,Mpp1,-0.54,0.146,-0.14,0.698,-2.3,0.012,-3.04,0.502,17524
5'-AMP-activated protein kinase catalytic subunit alpha-1  ,sp|Q5EG47|AAPK1_MOUSE,Q5EG47,Prkaa1,0.24,0.272,-0.02,0.514,-0.4,0.577,-1.06,0.625,105787
5'-AMP-activated protein kinase catalytic subunit alpha-2  ,sp|Q8BRK8|AAPK2_MOUSE,Q8BRK8,Prkaa2,-0.33,0.202,-0.23,0.348,-0.38,1,-0.89,0.99,108079
5'-AMP-activated protein kinase subunit beta-1  ,sp|Q9R078|AAKB1_MOUSE,Q9R078,Prkab1,0.02,0.925,0.01,0.61,0.2,0.495,0.15,0.68,19079
5'-AMP-activated protein kinase subunit gamma-1  ,sp|O54950|AAKG1_MOUSE,O54950,Prkag1,0.09,0.592,-0.02,0.675,0.09,0.325,-0.07,0.885,19082
5-formyltetrahydrofolate cyclo-ligase  ,sp|Q9D110|MTHFS_MOUSE,Q9D110,Mthfs,-0.32,0.168,-0.31,0.118,-0.49,0.081,0,0.582,107885
5-hydroxyisourate hydrolase  ,sp|Q9CRB3|HIUH_MOUSE,Q9CRB3,Urah,-0.29,0.128,-0.44,0.019,-0.2,0.046,0.23,0.406,76974
5-oxoprolinase  ,sp|Q8K010|OPLA_MOUSE,Q8K010,Oplah,0.16,0.455,-0.22,0.933,-0.12,0.864,-0.27,0.972,75475
"60 kDa heat shock protein, mitochondrial  ",sp|P63038|CH60_MOUSE,P63038,Hspd1,-0.51,0.55,-0.37,0.747,0.17,0.729,0.45,0.753,15510
60 kDa SS-A/Ro ribonucleoprotein  ,sp|O08848|RO60_MOUSE,O08848,Trove2,0.24,0.238,0.14,0.522,0.26,0.734,0.42,0.717,20822
60S acidic ribosomal protein P0  ,sp|P14869|RLA0_MOUSE,P14869,Rplp0,-0.09,0.668,0.12,0.905,-0.33,0.513,-0.78,0.895,11837
60S acidic ribosomal protein P1  ,sp|P47955|RLA1_MOUSE,P47955,Rplp1,-0.3,0.337,-0.58,0.299,0.04,0.638,0.15,0.142,56040
60S acidic ribosomal protein P2  ,sp|P99027|RLA2_MOUSE,P99027,Rplp2,-0.18,0.587,0.21,0.361,-0.13,0.857,0.23,0.776,67186
60S ribosomal protein L10  ,sp|Q6ZWV3|RL10_MOUSE,Q6ZWV3,Rpl10,-0.03,0.887,-0.09,0.883,-0.01,0.201,-0.57,0.871,110954
60S ribosomal protein L11  ,sp|Q9CXW4|RL11_MOUSE,Q9CXW4,Rpl11,-0.29,0.527,0.15,0.782,-0.38,0.681,-0.38,0.25,67025
60S ribosomal protein L12  ,sp|P35979|RL12_MOUSE,P35979,Rpl12,-0.37,0.194,-0.14,0.899,-0.2,0.926,-0.35,0.779,269261
60S ribosomal protein L13  ,sp|P47963|RL13_MOUSE,P47963,Rpl13,-0.35,0.07,0.15,0.329,0.12,0.759,-0.47,0.032,270106
60S ribosomal protein L13a  ,sp|P19253|RL13A_MOUSE,P19253,Rpl13a,-0.01,0.978,0.33,0.412,0.01,0.158,-0.78,0.369,22121
60S ribosomal protein L14  ,sp|Q9CR57|RL14_MOUSE,Q9CR57,Rpl14,0.01,0.989,0.73,0.254,-0.54,0.483,-1,0.478,67115
60S ribosomal protein L15  ,sp|Q9CZM2|RL15_MOUSE,Q9CZM2,Rpl15,-0.08,0.796,0.35,0.085,0.66,0.075,0.37,0.325,66480
60S ribosomal protein L18  ,sp|P35980|RL18_MOUSE,P35980,Rpl18,-0.04,0.852,0.49,0.22,-0.29,0.892,-0.84,0.056,19899
60S ribosomal protein L18a  ,sp|P62717|RL18A_MOUSE,P62717,Rpl18a,-0.27,0.191,0.01,0.746,0.1,0.71,-0.06,0.264,76808
60S ribosomal protein L19  ,sp|P84099|RL19_MOUSE,P84099,Rpl19,-0.69,0.116,-0.2,0.577,0.15,0.563,0.23,0.237,19921
60S ribosomal protein L22-like 1  ,sp|Q9D7S7|RL22L_MOUSE,Q9D7S7,Rpl22l1,-0.25,0.315,0.54,0.565,-0.27,0.157,-0.22,0.21,68028
60S ribosomal protein L23a  ,sp|P62751|RL23A_MOUSE,P62751,Rpl23a,-0.32,0.379,0.07,0.278,-0.06,0.583,-0.49,0.513,268449
60S ribosomal protein L24  ,sp|Q8BP67|RL24_MOUSE,Q8BP67,Rpl24,-0.33,0.278,0.44,0.824,-0.43,0.789,-0.89,0.804,68193
60S ribosomal protein L26  ,sp|P61255|RL26_MOUSE,P61255,Rpl26,-0.03,0.93,0.28,0.723,0.65,0.117,0.37,0.266,19941
60S ribosomal protein L27  ,sp|P61358|RL27_MOUSE,P61358,Rpl27,0.01,0.979,0.35,0.722,0.19,0.416,-0.33,0.882,19942
60S ribosomal protein L27a  ,sp|P14115|RL27A_MOUSE,P14115,Rpl27a,-0.17,0.515,0.36,0.825,-0.15,0.923,-0.62,0.09,26451
60S ribosomal protein L28  ,sp|P41105|RL28_MOUSE,P41105,Rpl28,-0.67,0.048,-0.12,0.336,-0.12,0.341,-0.27,0.267,19943
60S ribosomal protein L3  ,sp|P27659|RL3_MOUSE,P27659,Rpl3,-0.21,0.317,0.24,0.98,0,0.914,-0.22,0.35,27367
60S ribosomal protein L30  ,sp|P62889|RL30_MOUSE,P62889,Rpl30,-0.2,0.334,-0.01,0.493,-0.09,0.664,0.08,0.744,19946
60S ribosomal protein L31  ,sp|P62900|RL31_MOUSE,P62900,Rpl31,-0.01,0.98,0.51,0.109,0.29,0.181,-0.13,0.798,114641
60S ribosomal protein L32  ,sp|P62911|RL32_MOUSE,P62911,Rpl32,-0.48,0.316,-0.1,0.561,0.24,0.512,0.23,0.959,19951
60S ribosomal protein L35  ,sp|Q6ZWV7|RL35_MOUSE,Q6ZWV7,Rpl35,-0.79,0.109,0.08,0.784,-0.17,0.439,-0.33,0.226,66489
60S ribosomal protein L35a  ,sp|O55142|RL35A_MOUSE,O55142,Rpl35a,-0.32,0.315,-0.16,0.651,0.08,0.744,-0.09,0.98,57808
60S ribosomal protein L37a  ,sp|P61514|RL37A_MOUSE,P61514,Rpl37a,-0.48,0.104,0.04,0.517,0.17,0.418,0.34,0.193,19981
60S ribosomal protein L38  ,sp|Q9JJI8|RL38_MOUSE,Q9JJI8,Rpl38,-0.25,0.185,0.08,0.946,-0.17,0.239,-0.06,0.236,67671
60S ribosomal protein L4  ,sp|Q9D8E6|RL4_MOUSE,Q9D8E6,Rpl4,-0.27,0.382,-0.01,0.965,-0.39,0.726,-1.13,0.237,67891
60S ribosomal protein L5  ,sp|P47962|RL5_MOUSE,P47962,Rpl5,-0.35,0.208,0.14,0.678,-0.17,0.721,-0.58,0.163,100503670
60S ribosomal protein L6  ,sp|P47911|RL6_MOUSE,P47911,Rpl6,-0.44,0.505,0.41,0.678,-0.74,0.391,-1.14,0.219,19988
60S ribosomal protein L7  ,sp|P14148|RL7_MOUSE,P14148,Rpl7,-0.66,0.221,0.1,0.707,-0.48,0.58,-1.11,0.293,19989
60S ribosomal protein L7a  ,sp|P12970|RL7A_MOUSE,P12970,Rpl7a,-0.31,0.355,0.38,0.576,-0.21,0.633,-0.83,0.42,27176
60S ribosomal protein L8  ,sp|P62918|RL8_MOUSE,P62918,Rpl8,-0.55,0.223,-0.01,0.113,0.18,0.851,0.2,0.487,26961
60S ribosomal protein L9  ,sp|P51410|RL9_MOUSE,P51410,Rpl9,-0.09,0.714,0.47,0.07,-0.28,0.929,-0.61,0.916,20005
60S ribosome subunit biogenesis protein NIP7 homolog  ,sp|Q9CXK8|NIP7_MOUSE,Q9CXK8,Nip7,-0.01,0.961,0.37,0.179,0.38,0.26,0.41,0.805,66164
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2  ",sp|P70265|F262_MOUSE,P70265,Pfkfb2,-0.25,0.189,-0.12,0.696,-0.21,0.244,-0.43,0.197,18640
6-phosphofructokinase type C  ,sp|Q9WUA3|K6PP_MOUSE,Q9WUA3,Pfkp,-0.78,0.015,-1.22,0.003,-0.32,0.152,-0.2,0.349,56421
"6-phosphofructokinase, liver type  ",sp|P12382|K6PL_MOUSE,P12382,Pfkl,-0.77,0.086,-0.65,0.085,-0.87,0.083,-1.1,0.132,18641
"6-phosphofructokinase, muscle type  ",sp|P47857|K6PF_MOUSE,P47857,Pfkm,-0.2,0.422,0.41,0.71,-0.03,0.152,-0.74,0.806,18642
"6-phosphogluconate dehydrogenase, decarboxylating  ",sp|Q9DCD0|6PGD_MOUSE,Q9DCD0,Pgd,-0.46,0.034,-0.74,0.04,-0.48,0.117,-0.55,0.137,110208
6-phosphogluconolactonase  ,sp|Q9CQ60|6PGL_MOUSE,Q9CQ60,Pgls,-0.05,0.848,-0.16,0.653,0.08,0.597,0.46,0.936,66171
6-pyruvoyl tetrahydrobiopterin synthase  ,sp|Q9R1Z7|PTPS_MOUSE,Q9R1Z7,Pts,0.09,0.665,-0.24,0.464,-0.23,0.406,0.09,0.12,19286
78 kDa glucose-regulated protein  ,sp|P20029|GRP78_MOUSE,P20029,Hspa5,-0.4,0.112,-0.35,0.191,0.1,0.606,0.22,0.443,14828
7-dehydrocholesterol reductase  ,sp|O88455|DHCR7_MOUSE,O88455,Dhcr7,0.11,0.599,-0.17,0.346,-0.01,0.564,0.02,0.241,13360
